IATA	ICAO	JapaneseName	EnglishName	Country	City
AVP	KAVP	ウィルクス＝バーレ/スクラントン国際空港 Wilkes-Barre/Scranton International A irport アメリカ ウィルクスバリ、スクラントン			
AVU	AGGJ	A vu A vu A irport ソロモン諸島			
AVV	YMAV	A valon A irport オーストラリア			
AVW	KAVQ	Marana Regional A irport (F A A : A V Q) アメリカ ツーソン			
AWA	HALA	A wasa A irport エチオピア			
AWB	AYAW	A waba A irport パプアニューギニア			
AWD	NVVB	A niwa A irport バヌアツ			
AWE		A lowe A irport ガボン			
AWH		A wareh A irport エチオピア			
AWK	PWAK	ウェーク島空港 W ake Island A irport ウェーク島 ウェーク島			
AWM	KAWM	W est Memphis Municipal A irport アメリカ			
AWN		A fton Downs A irport オーストラリア			
AWP		A ustral Downs A irport オーストラリア			
AWR		A war A irport パプアニューギニア			
AWZ	OIAW	A hwaz A irport イラン			
AXA	TQPF	クレイトン・J・ロイド国際空港 Clayton J. Lloyd International A irport アンギラ バレー			
AXB		Maxson A irfield (F A A : 89N) アメリカ アレクサンドリア・ベイ			
AXC	YAMC	A ramac A irport オーストラリア			
AXD	LGAL	アレクサンドルーポリ国際空港 A lexandroupolis International A irport ギリシャ アレクサンドルーポリ			
AXE		X anxere A irport ブラジル			
AXF		A lxa Left Banner Bayanhot A irport 中国			
AXG	KAXA	A lgona Municipal A irport (F A A : A X A ) アメリカ			
AXJ	RJDA	天草空港 A makusa A irport 日本 天草			
AXK	OYAT	A taq A irport イエメン			
AXL		A lexandria A irport オーストラリア			
AXM	SKAR	El Edén International A irport コロンビア			
AXN	KAXN	Chandler Field アメリカ アレキサンドリア			
AXP	MYAP	Spring Point A irport バハマ			
AXR	NTGU	A rutua A irport フランス領ポリネシア			
AXS	KAXS	A ltus/Quartz Mountain Regional A irport アメリカ			
AXT	RJSK	秋田空港 A kita A irport 日本 秋田			
AXU	HAAX	A xum A irport エチオピア			
AXV	KAXV	Neil A rmstrong A irport アメリカ			
AXX	KAXX	A ngel Fire A irport アメリカ			
AYA		A yapel A irport コロンビア			
AYC		A yacucho A irport ペルー			
AYD		A lroy Downs A irport オーストラリア			
AYE		Moore A rmy A irfield (Fort Devens) (closed 1995-2000) アメリカ			
AYG	SKYA	Y aguara A irport コロンビア			
AYH	EGWZ	R A F A lconbury イギリス			
AYI		Y ari A irport コロンビア			
AYK	UAUR	A rkalyk A irport カザフスタン			
AYL		A nthony Lagoon A irport オーストラリア			
AYN	ZHAY	A nyang A irport 中国			
AYO	SGAY	ホアン・デ・アヨラス空港 Juan de A yolas A irport パラグアイ アヨラス			
AYP	SPHO	コロネルFAPアルフレド・メンディビル・ドゥアルテ空港 Coronel F A P A lfredo Mendívil Duarte A irport ペルー アヤクーチョ			
AYQ	YAYE	エアーズロック空港 A yers Rock A irport オーストラリア ウルル			
AYR	YAYR	A yr A irport オーストラリア			
AYS	KAYS	Waycross–Ware County A irport アメリカ			
AYT	LTAI	アンタルヤ国際空港 A ntalya International A irport トルコ アンタルヤ			
AYU	AYAY	A iyura A irport パプアニューギニア			
AYW		A yawasi A irport インドネシア			
AZA	KIWA	Phoenix–Mesa Gateway A irport (F A A : IW A ) アメリカ			
AZB		A mazon Bay A irport パプアニューギニア			
AZD	OIYY	Yazd Shahid Sadooghi A irport イラン			
AZG		Pablo L. Sidar A irport メキシコ			
AZI	OMAD	Bateen A irport アラブ首長国連邦 アブダビ			
AZN	UTKA	アンディジャン空港 A ndizhan A irport ウズベキスタン アンディジャン			
AZO	KAZO	カラマズー・バトル・クリーク国際空港 Kalamazoo/Battle Creek International A irport アメリカ カラマズー			
AZP		A tizapan A irport メキシコ メキシコシティ			
AZR	DAUA	Touat-Cheikh Sidi Mohamed Belkebir A irport アルジェリア			
AZS	MDCY	Samaná El Catey International A irport ドミニカ共和国			
AZT		Z apatoca A irport コロンビア			
AZZ	FNAM	A mbriz A irport アンゴラ			
BAA	AYBL	B ialla A irport パプアニューギニア			
BAB	KBAB	B eale A ir Force B ase アメリカ メアリーズビル			
BAC		B arranca de Upia A irport コロンビア			
BAD	KBAD	B arksdale A ir Force B ase アメリカ			
BAE	LFMR		B arcelonnette	B arcelonnette	Saint-Pons A irport フランス
BAF	KBAF	B arnes Municipal A irport アメリカ			
BAG	RPUB	バギオ＝ローカーン空港 Loakan A irport フィリピン バギオ			
BAH	OBBI	バーレーン国際空港 B ahrain International A irport バーレーン ムハッラク			
BAI	MRBA	B uenos A ires A irport コスタリカ			
BAJ		B ali A irport パプアニューギニア			
BAL	LTCJ	B atman A irport トルコ			
BAM	KBAM	バトル・マウンテン空港 B attle Mountain A irport (Lander County A irport) アメリカ バトル・マウンテン			
BAN	FZVR	B asongo A irport コンゴ民主共和国			
BAO	VTED	Udon A ir B ase タイ			
BAP		B aibara A irport パプアニューギニア			
BAQ	SKBQ	Ernesto Cortissoz International A irport コロンビア バランキージャ			
BAR			B aker A rmy A irfield (abandoned)		
BAS	AGGE	B allalae A irport ソロモン諸島			
BAT	SBBT	Chafei A msei A irport ブラジル			
BAU	SBBU	B auru A irport ブラジル			
BAV	ZBOW	B aotou A irport 中国			
BAW		B iawonque A irport ガボン			
BAX	UNBB	B arnaul A irport ロシア			
BAY	LRBM	バヤ・マレ空港 B aia Mare A irport ルーマニア バヤ・マレ			
BAZ	SWBC	B arcelos A irport ブラジル			
BBA	SCBA	バルマセダ空港 B almaceda Airport チリ バルマセダ			
BBB	KBBB	B enson Municipal Airport アメリカ			
BBC	KBYY	ベイシティ空港 B ay City Municipal Airport (FAA: B YY) アメリカ ベイシティ			
BBD	KBBD	Curtis Field アメリカ ブレイディー			
BBE		B ig B ell Airport オーストラリア			
BBG	NGTU	B utaritari Atoll Airport キリバス			
BBH	EDBH	Stralsund B arth Airport ドイツ			
BBI	VEBS	B iju Patnaik Airport インド			
BBJ	EDRB	B itburg Airport (former B itburg Air B ase) ドイツ			
BBK	FBKE	Kasane Airport ボツワナ			
BBL	YLLE	B allera Airport オーストラリア			
BBM	VDBG	バタンバン空港 B attambang Airport カンボジア バタンバン			
BBN	WBGZ	B ario Airport マレーシア			
BBO	HCMI	B erbera Airport ソマリア			
BBP	EGHJ	B embridge Airport イギリス			
BBQ	TAPH	Codrington Airport アンティグア・バーブーダ コドリントン			
BBR	TFFB	B aillif Airport グアドループ バステール			
BBS	EGLK	B lackbushe Airport イギリス			
BBT	FEFT	B erbérati Airport 中央アフリカ			
BBU	LRBS	アウレル・ヴライク国際空港 Aurel Vlaicu International Airport ルーマニア ブカレスト			
BBV	DIGN	B ereby Airport コートジボワール			
BBW	KBBW	B roken B ow Municipal Airport アメリカ			
BBX	KLOM	Wings Field (FAA: LOM) アメリカ			
BBY	FEFM	B ambari Airport 中央アフリカ			
BBZ	FLZB	Zambezi Airport ザンビア			
BCA	MUBA	Gustavo Rizo Airport キューバ バラコア			
BCB	KBCB	Virginia Tech Montgomery Executive Airport アメリカ			
BCC		B ear C reek 3 Airport (FAA: Z48) アメリカ			
BCD	RPVB	バコロド＝シライ国際空港 B acolod-Silay International Airport フィリピン バコロド			
BCE	KBCE	B ryce C anyon Airport アメリカ			
BCF	FEGU	B ouca Airport 中央アフリカ			
BCG		B emichi Airport ガイアナ			
BCH	WPEC	C akung Airport 東ティモール			
BCI	YBAR	B arcaldine Airport オーストラリア			
BCK		B olwarra Airport オーストラリア			
BCL	MRBC	バラ・デル・コロラド空港 B arra del C olorado Airport コスタリカ バラ・デル・コロラド			
BCM	LRBC	バカウ国際空港 B acău International Airport ルーマニア バカウ			
BCN	LEBL	バルセロナ・エル・プラット国際空港 B arcelona El Prat International Airport スペイン バルセロナ			
BCO	HABC	B aco Airport (Jinka Airport) エチオピア			
BCP	AYBC	B ambu Airport パプアニューギニア			
BCQ		B rak Airport リビア			
BCR	SWNK	Novo C ampo Airport ブラジル			
BCS		Southern Seaplane Airport (FAA: 65LA) アメリカ			
BCT	KBCT	B oca Raton Airport アメリカ			
BCU		B auchi Airport ナイジェリア			
BCV		B elmopan Airport ベリーズ ベルモパン			
BCW		B enguera Island Airport モザンビーク			
BCX	UWUB	B eloretsk Airport ロシア			
BCY	HABU	B ulchi Airport エチオピア			
BCZ		Milyakburra Airport オーストラリア			
BDA	TXKF	バミューダ国際空港 B ermuda International Airport バミューダ諸島 ハミルトン			
BDB	YBUD	B undaberg Airport オーストラリア			
BDC	SNBC	B arra do Corda Airport ブラジル			
BDD	YBAU	B adu Island Airport オーストラリア			
BDE	KBDE	B audette International Airport アメリカ			
BDF		Rinkenberger RLA Airport (FAA: 3IS8) アメリカ			
BDG	KBDG	B landing Municipal Airport アメリカ			
BDH	OIBL	B andar Lengeh Airport イラン			
BDI	FSSB	B ird Island Airport セーシェル バード島			
BDJ	WRBB	シャムスディン・ノール空港 Syamsudin Noor Airport インドネシア バンジャルマシン			
BDK	DIBU	Soko Airport コートジボワール			
BDL	KBDL	ブラッドレー国際空港 B radley International Airport アメリカ ハートフォード			
BDM	LTBG	B andırma Airport トルコ			
BDN	OPTH	Talhar Airport パキスタン			
BDO	WICC	フセイン・サストラネガラ空港 Husein Sastranegara Airport インドネシア バンドン			
BDP	VNCG	バドラプール空港 B hadrapur Airport ネパール バドラプール			
BDQ	VABO	Vadodara Airport インド			
BDR	KBDR	Igor I. Sikorsky Memorial Airport アメリカ			
BDS	LIBR	Casale Airport イタリア ブリンディシ			
BDT	FZFD	Gbadolite Airport コンゴ民主共和国			
BDU	ENDU	バルドゥフォス空港 B ardufoss Airport ノルウェー バルドゥフォス			
BDV	FZRB	Moba Airport コンゴ民主共和国			
BDW	YBDF	B edford D owns Airport オーストラリア			
BDY		バンドン・ステート空港 B andon State Airport (FAA: S05) アメリカ バンドン			
BDZ	AYBG	B aindoung Airport パプアニューギニア			
BEA		B ereina Airport パプアニューギニア			
BEB	EGPL	ベンベキュラ空港 B enbecula Airport イギリス バリバニック			
BEC	KBEC	B eech Factory Airport アメリカ			
BED	KBED	Laurence G. Hanscom Field アメリカ			
BEE		B eagle B ay Airport オーストラリア			
BEF	MNBL	B luefields Airport ニカラグア			
BEG	LYBE	ベオグラード・ニコラ・テスラ空港 B elgrade Nikola Tesla Airport セルビア ベオグラード			
BEH	KBEH	Southwest Michigan Regional Airport アメリカ			
BEI	HABE	B eica Airport エチオピア			
BEJ	WALK	ベラウ空港 B erau Airport (Kalimaru Airport) インドネシア			
BEK	VIBY	B areilly Airport インド			
BEL	SBBE	ベレン／ヴァウ・デ・カンス国際空港 Val de Cans International Airport ブラジル ベレン			
BEM	FEFL	B ossembélé Airport 中央アフリカ			
BEN	HLLB	ベニナ空港 B enina International Airport リビア ベンガジ			
BEO	YPEC		Newcastle	Newcastle	B elmont Airport オーストラリア
BEP	VOBI	B ellary Airport インド			
BEQ	EGXH	RAF Honington イギリス			
BER	EDDB	ベルリン・ブランデンブルク国際空港 B erlin B randenburg Airport ドイツ ベルリン			
BES	LFRB	ブレスト・ブルターニュ空港 B rest B retagne Airport フランス ブレスト			
BET	PABE	B ethel Airport アメリカ			
BEU	YBIE	B edourie Airport オーストラリア			
BEV	LLBS	B e'er Sheva Airport イスラエル			
BEW	FQBR	B eira Airport モザンビーク			
BEX	EGUB	RAF B enson イギリス			
BEY	OLBA	ラフィク・ハリリ国際空港 B eirut Rafic Hariri International Airport レバノン ベイルート			
BEZ	NGBR	B eru Airport キリバス			
BFC		B loomfield Airport オーストラリア			
BFD	KBFD	B radford Regional Airport アメリカ			
BFE	EDLI	B ielefeld Airport ドイツ			
BFF	KBFF	Western Nebraska Regional Airport (William B . Heilig F ield) アメリカ			
BFG		B ullfrog B asin Airport ( F AA: U07) アメリカ			
BFH	SBBI	B acacheri Airport ブラジル クリチバ			
BFI	KBFI	キング郡国際空港 King County International Airport アメリカ シアトル			
BFJ	ZUBJ	B ijie F eixiong Airport 中国			
BFL	KBFL	メドウズ・フィールド空港 Meadows F ield Airport アメリカ ベーカーズフィールド			
BFM	KBFM	モービル・ダウンタウン空港 Mobile Downtown Airport アメリカ モービル			
BFN	FABL	B loemfontein Airport 南アフリカ			
BFO	FVCZ	B uffalo Range Airport ジンバブエ			
BFP	KBVI	B eaver County Airport ( F AA: B VI) アメリカ			
BFQ		B ahia de Piña Airport パナマ			
BFR	KBFR	Virgil I. Grissom Municipal Airport アメリカ			
BFS	EGAA	ベルファスト国際空港 B elfast International Airport イギリス ベルファスト			
BFT	KARW	B eaufort County Airport ( F AA: ARW) アメリカ			
BFU	ZSBB	B engbu Airport 中国			
BFV	VTUO	ブリーラム空港 B uriram Airport タイ ブリーラム			
BFW	DAOS	Sidi B el Abbès Airport アルジェリア			
BFX	FKKU	B afoussam Airport カメルーン			
BGA	SKBG	Palonegro Airport コロンビア ブカラマンガ			
BGB	FOGB	B ooue Airport ガボン			
BGC	LPBG	ブラガンサ空港 B ragança Airport ポルトガル ブラガンサ			
BGD	KBGD	ハッチンソン・カウンティ空港 Hutchinson County Airport アメリカ ボーガー			
BGE	KBGE	Decatur County Industrial Air Park アメリカ			
BGF	FEFF	バンギ・ムポコ国際空港 B angui M Poko International Airport 中央アフリカ バンギ			
BGH	GQNE	Abbaye Airport モーリタニア			
BGI	TBPB	グラントレー・アダムス国際空港 G rantley Adams International Airport バルバドス ブリッジタウン			
BGJ	BIBF	B orgarfjörður Airport アイスランド			
BGK		B ig Creek Airport ベリーズ			
BGL	VNBL	バレワ空港 B alewa Airport ネパール バグラン			
BGM	KBGM	グレーター・ビンガムトン空港 G reater B inghamton Airport アメリカ ビンガムトン			
BGN	UESG	B elaya G ora Airport ロシア			
BGO	ENBR	ベルゲン空港 B ergen Airport ノルウェー ベルゲン			
BGP		B ongo Airport ガボン			
BGQ	PAGQ	B ig Lake Airport アメリカ			
BGR	KBGR	バンゴー国際空港 B angor International Airport アメリカ バンゴー			
BGS		Webb Air Force B ase (closed 1977) アメリカ ビッグ・スプリング			
BGT		B agdad Airport (FAA: E51) アメリカ			
BGU	FEFG	B angassou Airport 中央アフリカ			
BGV		B ento G onçalves Airport ブラジル			
BGW	ORBI	バグダッド国際空港 B aghdad International Airport イラク バグダッド			
BGX	SBBG	Comandante G ustavo Kraemer Airport ブラジル			
BGY	LIME	Orio al Serio Airport イタリア			
BGZ	LPBR	B raga Airport ポルトガル			
BHA	SESV	Los Perales エクアドル			
BHB	KBHB	H ancock County- B ar H arbor Airport アメリカ			
BHC		B hurban H eliport パキスタン			
BHD	EGAC	George B est B elfast City Airport イギリス ベルファスト			
BHE	NZWB	ウッドボーン空港 Woodbourne Aerodrome ニュージーランド ブレナム			
